image_name,group,human_caption_1,human_caption_2,human_caption_3,human_caption_4,human_caption_5,baseline_caption,baseline_best_f1,exp1_longer_caption,exp1_longer_best_f1,exp2_beam5_caption,exp2_beam5_best_f1
3247168324_c45eaf734d.jpg,bad,A girl and a man wearing a colored hat is leaning from the window of a limousine .,a long white limo with two people hanging out the window,"A man , with rainbow hair , and a woman are yelling out the window of a limo .","Two people , one with a rainbow wig , wave out the window of a limo .","Two women , one in a rainbow wig , wave out of a long car .",a red double decker bus,0.125,a red double decker bus,0.125,a red double decker bus,0.125
118187095_d422383c81.jpg,bad,Parents are pushing little children in red car carts .,twin boys being pushed in small car shaped strollers in a parade,Twin toddlers dressed alike being pushed in plastic car strollers in a parade,Two children ride in toy cars .,Two kids being pushed in car shaped strollers in a parade .,a group of people walking down the street,0.1111,a group of people walking down the street,0.1111,a group of people walking down the street,0.1111
2529205842_bdcb49d65b.jpg,bad,Basketball player has fallen on the court while another grabs at the ball from out of frame .,Two basketball players are scrambling for the ball on the court .,"Two basketball players , one on the floor , struggle to gain possession of a basketball .","Two high school basketball players reach to grab the ball , one falling to the floor .","Two men in uniforms playing basketball , struggle for the ball .",a man wearing a black shirt,0.1111,a man wearing a black shirt,0.1111,two boys playing basketball,0.4286
2367318629_b60cf4c4b3.jpg,bad,a few small children drapped with black cloaks and black hats with red trim .,Five children dressed in black cloaks and hats .,five girls dressed alike,Four children in black and red hats and black clothes perform .,"Some children in black robes and black and red hats ,",a group of people walking down a street,0.1053,a group of people walking down a street,0.1053,a group of people walking down the street,0.1
133189853_811de6ab2a.jpg,bad,"A man wearing a tuxedo shirt , vest , and bow-tie is kissing another man wearing the same thing on the cheek .",A man with a shaved head is kissing another man on the cheek .,One man in a vest and tie plants a kiss on the cheek of another happy man .,One man kissing another man on the check and both are in white shirts with black vests .,"One men is laughing while being kissed on the cheek by another man , both men are wearing formal wear",two men in tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tu,0.1,two men in tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tu,0.1,two men in tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tu,0.1
1030985833_b0902ea560.jpg,bad,A black dog and a brown dog are jumping up to catch a red toy .,A black dog and a brown dog play with a red toy on a courtyard .,A brown and black lab are outside and the black lab is catching a toy in its mouth .,Black dog snaps at red and black object as brown dog lunges .,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,two dogs playing,0.0,two dogs playing,0.0,the dog is black,0.3333
109738916_236dc456ac.jpg,bad,People are riding around on snowmobiles .,People pose with helmets and goggles on while riding snowmobiles .,Several people are taking a break while on a snowmobiling ride .,Three people and two snowmobiles .,Two helmeted men sit on yellow snowmobiles while another man stands behind watching .,snow covered trees,0.0,snow covered trees,0.0,snow on the ground,0.2
2500567791_101d5ddee3.jpg,bad,a black cow and a brown cow being chased by a dog,A black cow and a brown cow being chased by a dog,A brown and black bull runs from a small black dog .,A brown cow jumps near a black one as a dog herds them .,Dog chasing brown cow and black cow,the fence is metal,0.0,the fence is metal,0.0,the fence is metal,0.0
3209620285_edfc479392.jpg,bad,Two men at the beach twirl sticks with fire at the ends .,Two men carry long objects on the sand .,Two people are twirling fire sticks whilst standing on the sand .,Two people juggle fire sticks in the mud .,Two people stand out on the beach and hold long sticks that have flames on each end .,a man holding a baseball bat,0.0,a man holding a baseball bat,0.0,two people playing baseball on the beach,0.4444
3217266166_4e0091860b.jpg,bad,Children play with large hoops .,Little kids playing with sparklers at night .,Two small children are twirling sparkling rope .,Two young boys playing with sparklers .,Two young children and an older man play with sparklers .,a group of people standing around a fire,0.0,a group of people standing around a fire,0.0,a group of people holding sparkle sticks,0.0
3271252073_0a1b9525fc.jpg,bad,The ladies are talking .,Three women are smiling with paintings behind them .,"Three women at an art gallery , two of the women holding wine glasses .","Three women talking and laughing , while 2 hold glasses of wine .","Three women talking , holding glasses of wine , with paintings in the background .",woman wearing a black coat,0.0,woman wearing a black coat,0.0,woman wearing a black coat,0.0
3362592729_893e26b806.jpg,bad,two dancers each wearing black outfits with battons in midair,Two girls in black toss their guns in the air .,Twome women in black jumpsuits throw objects in the air in sync .,Two women in black outfits and barefoot are looking up .,Two women in black practising throwing rifles in the air .,a group of people playing a game of badminton,0.0,a group of people playing a game of badminton,0.0,a group of people playing a game of badminton,0.0
3532782283_341f0381a3.jpg,bad,Three people are facing the mountains .,Three people looking toward the mountains .,Three people stand looking in the direction of some mountains .,Three people watching the clouds in the mountains .,Three young adults gaze at the approaching storm .,a cloudy sky,0.0,a cloudy sky,0.0,two people standing in a field,0.3077
